crop,version,accuracy,precision,recall,f1_score
corn,v1_20260118_144945,0.9476190476190476,0.9472791410761335,0.9476190476190476,0.9473238418683883
rice,v1_20260118_161225,0.9922480620155039,0.9923664191106051,0.9922480620155039,0.9922153632970051
soybean,v1_20260118_225345,0.9661016949152542,0.9693502824858756,0.9661016949152542,0.9613091759205145
wheat,v1_20260118_234239,0.9293893129770993,0.9321654830534337,0.9293893129770993,0.9291718787641892
